st,mean_pop
PC,45647
PR,1706584
VI,23450.5
PI,14934500
AL,2739604.5
AK,65901
AZ,467417
AR,1901934.5
CA,6292319
CO,1079543.5
CT,1658072.5
DE,252442.5
DC,574980
FL,1682812.5
GA,3016114.5
HI,395553
ID,484952.5
IL,7763947.5
IN,3333149.5
IA,2504603.5
KS,1841013.5
KY,2730108
LA,2232736.5
ME,822324.5
MD,1726385
MA,4283167.5
MI,5049215.5
MN,2678126.5
MS,2096808.5
MO,3707015.5
MT,548531
NE,1346898.5
NV,100652.5
NH,478408.5
NJ,4100749.5
NM,477567.5
NY,13033604
NC,3370949.5
ND,661390
OH,6777154.5
OK,2366237
OR,1021735
PA,9765765
RI,700421.5
SC,1819284.5
SD,667905
TN,2766198.5
TX,6119769.5
UT,529078.5
VT,359421
VA,2549812
WA,1649793.5
WV,1815589.5
WI,3038296.5
WY,238153.5
